,0
131,-1.196727304976179
132,-1.2114717553132075
133,-1.226232721724843
134,-1.2409419377693778
135,-1.2556522548855529
136,-1.2704473545180417
137,-1.2852083209296767
138,-1.2999527712667056
139,-1.3147137376783407
140,-1.3294758051616162
141,-1.3441850212061512
142,-1.3590153551311335
143,-1.3738104547636223
144,-1.388537287954404
145,-1.4032817382914329
146,-1.4180603218493146
147,-1.4329589222160042
148,-1.4478575225826933
149,-1.4627737400956295
150,-1.4776723404623187
151,-1.4925544247544014
152,-1.507487158341944
153,-1.5223351094131734
154,-1.5371995765590092
155,-1.5520805597794514
156,-1.5669626440715343
157,-1.5819823623186708
158,-1.5969844634195607
159,-1.612038314887551
160,-1.6271086824301477
161,-1.6421966671189914
162,-1.6572329014407345
163,-1.6722867529087246
164,-1.6873064711558616
165,-1.7023085722567515
166,-1.717378939799348
167,1.347178703433805
168,1.3368902900256057
169,1.3213376531044996
170,1.306646054206212
171,1.2920051046033838
172,1.2773124046334554
173,1.2626549389560209
174,1.2480139893531927
175,1.2333389065295113
176,1.2186979569266831
177,1.2040911405447086
178,1.1894843241627338
179,1.1748609917061525
180,1.1602894096166718
181,1.1456308428675968
182,1.1310251275572627
183,1.1163500447335812
184,1.1017608454978534
185,1.087188162336732
186,1.0724954623668035
187,1.0578203795431222
188,1.0432487974536413
189,1.0286772153641606
190,1.0139845153942322
191,0.9993259486451571
192,0.9847543665556764
193,0.9700616665857479
194,0.9554559512754138
195,0.9407797673800917
196,0.9261046845564103
197,0.9114472188789758
198,0.8968238864223947
199,0.8821653196733196
200,0.8675585032913449
201,0.8529693040556171
202,0.838345971599036
203,0.8236708887753545
204,0.8090640723933797
205,0.7944066067159453
206,0.7797832742593642
207,0.7652105910982429
208,0.7506213918625151
209,0.735998059405934
210,0.7213747269493529
211,0.7067855277136251
212,0.6922128445525036
213,0.6775729960213163
214,0.6628968121259942
215,0.6482569635948067
216,0.6336842804336853
217,0.6190950811979575
218,0.6045400151830831
219,0.5899508159473553
220,0.5753274834907742
221,0.5606865338879462
222,0.5460632014313651
223,0.5313881186076836
224,0.5167647861511026
225,0.5021403526228807
226,0.4874828869454463
227,0.47287607056347153
228,0.4582868713277438
229,0.4436459217249157
230,0.42907433963543495
231,0.41450275754595417
232,0.3997583072089254
233,0.38499734079729026
234,0.3702363743856549
235,0.3554743069023793
236,0.34069572334449716
237,0.32591824085825544
238,0.3111561733749799
239,0.29636107374249143
240,0.2816166234054626
241,0.2668556569938275
242,0.25209469058219236
243,0.23735024024516357
244,0.22258927383352844
245,0.2077930731293993
246,0.19304972386401117
247,0.17830527352698236
248,0.16354430711534723
249,0.1487657235574651
250,0.13396952285333596
251,0.11922617358794782
252,0.10448172325091903
253,0.08970313969303689
254,0.07495979042764876
255,0.06021534009061997
256,0.04550612404608518
257,0.030744056562809385
258,0.015863073342367216
259,0.001084489784485078
260,-0.013728226994250404
261,-0.028455060185032195
262,-0.04319951052206099
263,-0.057960476933696124
264,-0.07272144334533126
265,-0.08744827653611305
266,-0.10221034401938885
267,-0.11700544365187733
268,-0.13176641006351247
269,-0.14645911003344092
270,-0.1612718268121764
271,-0.1759986600029582
272,-0.19081137678169366
273,-0.20557344426496946
274,-0.22038616104370493
275,-0.23516474460158707
276,-0.24994222708782882
277,-0.2647208106457107
278,-0.2794476438364925
279,-0.29419209417352127
280,-0.3089365445105501
281,-0.3237140269967918
282,-0.33849261055467367
283,-0.3532711941125558
284,-0.3680156444495846
285,-0.38279422800746676
