,0
95,-0.6473846670245527
96,-0.6542059397850165
97,-0.6681510006493212
98,-0.6810756998602009
99,-0.6850657957771402
100,-0.7078596284735764
101,-0.7188338693485836
102,-0.7350225530732147
103,-0.7471218513471242
104,-0.7665779468655686
105,-0.7724816240604131
106,-0.78614962000335
107,-0.7942618560548982
108,-0.810356415637723
109,-0.8144405766548073
110,-0.8337406398293795
111,-0.8413559702058954
112,-0.8555521026352056
113,-0.8641932559645854
114,-0.881566060216881
115,-0.8956594561601653
116,-0.9022878773022595
117,-0.9128271124669551
118,-0.9195024326848614
119,-0.9420920457262607
120,-0.9597223206513262
121,-0.9719963509135523
122,-0.9886156558697723
123,-1.0027466414708228
124,-1.0065962291467914
125,-1.0232065015546397
126,-1.03503555157547
127,-1.0345515452257512
128,-1.0670129810415818
129,-1.0822263963853054
130,-1.0999414943970849
131,-1.116474292293354
132,-1.1393638628434621
133,-1.1497955125898034
134,-1.1561416939726732
135,-1.1927191330317557
136,-1.2213829998431818
137,-1.224058695157193
138,-1.2391603255630836
139,-1.2645591360173645
140,-1.291016591904945
141,-1.3007800744986713
142,-1.3170708619436873
143,-1.330923473229941
144,-1.3518959023312629
145,-1.3655045140891782
146,-1.3871331227466155
147,-1.404441153083778
148,-1.4559965817622353
149,-1.492400878577958
150,-1.50055609140937
151,-1.5106684993654427
152,-1.51001922021331
153,-1.5162219177852003
154,-1.5341462067997509
155,-1.5494411647793545
156,-1.5525720021201346
157,-1.5649506553927819
158,-1.5709125358001426
159,-1.5777385317494357
160,-1.5930480043428532
161,-1.6265779422175337
162,-1.636080795098369
163,-1.588069596414957
164,-1.544356461805758
165,-1.4439387275585873
166,-1.4597923590808668
167,-1.2684863198455445
168,0.9578486396111676
169,1.176897821152032
170,1.2889544654902694
171,1.312274616901128
172,1.290218998652862
173,1.22786032612523
174,1.2546942277589792
175,1.2053161746064331
176,1.2069477676347822
177,1.1934929841178987
178,1.1574174938787594
179,1.1406544608034637
180,1.1198352205827775
181,1.102546415098102
182,1.0918188952927446
183,1.0685195780794579
184,1.1009116466778892
185,1.0766071111761693
186,1.045618687285345
187,1.0226176636968896
188,1.0201542266953418
189,1.0098330106061175
190,0.9918088884053602
191,0.9761374353235095
192,0.9630276742187402
193,0.9410898707342119
194,0.9254439170341715
195,0.9053844171573986
196,0.8918852609924158
197,0.8797376099122557
198,0.8650146432190062
199,0.8519537763746307
200,0.8322297396976837
201,0.8217843479735703
202,0.8048694187312037
203,0.7914201831164944
204,0.7751093144842853
205,0.7591357861548915
206,0.7480491984422201
207,0.732559439553258
208,0.7220307264430254
209,0.7050874556309776
210,0.6945813613602843
211,0.6814010750471963
212,0.6698111824889094
213,0.6562084006990355
214,0.6449822070391956
215,0.6295437318882496
216,0.6196763228472967
217,0.6029694936979019
218,0.5917751335494981
219,0.5749974196382754
220,0.5608970747278037
221,0.549504756625023
222,0.5322204363779109
223,0.5189947401342714
224,0.5065447840626568
225,0.4895315736964832
226,0.47856040735185296
227,0.46001956221110435
228,0.446943465729212
229,0.43016941132146624
230,0.4160325722381189
231,0.4011661257681383
232,0.3872535816546929
233,0.3729066347391426
234,0.357327319800266
235,0.3437877707168012
236,0.33052087615078735
237,0.31535886761260234
238,0.30124288077941896
239,0.29210098818423136
240,0.27826277177548125
241,0.25972053231912445
242,0.24119841098318073
243,0.2224853894387015
244,0.19644626310930674
245,0.1814710053422106
246,0.1658684655137968
247,0.13502464085606736
248,0.11439910023659132
249,0.09121888153815753
250,0.0789177954209652
251,0.06696946390722898
252,0.06619281705005088
253,0.04852991327073608
254,0.04464346269856656
255,0.02651265430892838
256,0.019741298528575812
257,0.006881073035795521
258,-0.0013690002253226724
259,-0.008792411186197835
260,-0.025122484379801698
261,-0.03294542487532946
262,-0.046498274928157377
263,-0.06364217630749942
264,-0.0771681083055725
265,-0.08573135290690645
266,-0.10147947658336932
267,-0.11235378269249341
268,-0.12746373722044052
269,-0.13833803364405964
270,-0.1556851646278175
271,-0.16782652507097712
272,-0.18018330736236216
273,-0.1915530125823201
274,-0.21185981501537343
275,-0.2196702936244539
